0||66000||0|21,117.5|16.6666666666667,114|12.5,114|14.9913741666667,117.034392777778|14.5079705555556,121.021722222222|21,124|21,117.5;North Sector
1||66000||0|12.5,114|14.9913741666667,117.034392777778|14.5079705555556,121.021722222222|13,130|7,130|4.00740583333333,132.565079444444|4,120|7.5,117.5|8.38850527777778,116.463410277778|10.5,114|12.5,114;South Sector
2||66000||0|21,124|21,130|13,130|14.5079705555556,121.021722222222|21,124;East Sector
3||66000||0|12.5,114|14.9913741666667,117.034392777778|14.5079705555556,121.021722222222|10.1930555555556,120.456944444444|6.9753875,117.874723055556|7.5,117.5|8.38850527777778,116.463410277778|10.5,114|12.5,114;West Sector
12||15000||0|15.6842861111111,120.452316111111|15.6872516666667,120.721077777778|15.4921583333333,120.817625|15.4955947222222,120.835183055556|15.4955947222222,120.835183055556|15.4985902777778,120.852828888889|15.4985902777778,120.852828888889|15.5012877777778,120.870525555556|15.5012877777778,120.870525555556|15.5036869444444,120.888268611111|15.5036869444444,120.888268611111|15.5057875,120.906051666667|15.5057875,120.906051666667|15.5075863888889,120.923869444444|15.5075863888889,120.923869444444|15.5090861111111,120.941717777778|15.5090861111111,120.941717777778|15.5102838888889,120.959590277778|15.5102838888889,120.959590277778|15.5111797222222,120.977481388889|15.5111797222222,120.977481388889|15.511775,120.995385555556|15.511775,120.995385555556|15.5120688888889,121.013298333333|15.5120688888889,121.013298333333|15.5120597222222,121.031213611111|15.5120597222222,121.031213611111|15.5117483333333,121.049125833333|15.5117483333333,121.049125833333|15.5111369444444,121.067029166667|15.5111369444444,121.067029166667|15.5102216666667,121.084919722222|15.5102216666667,121.084919722222|15.5090063888889,121.102791111111|15.5090063888889,121.102791111111|15.5074908333333,121.1206375|15.5074908333333,121.1206375|15.5056738888889,121.138453888889|15.5056738888889,121.138453888889|15.5035558333333,121.156234722222|15.5035558333333,121.156234722222|15.5011394444444,121.173974722222|15.5011394444444,121.173974722222|15.4984255555556,121.191668611111|15.4984255555556,121.191668611111|15.4954127777778,121.209310833333|15.4954127777778,121.209310833333|15.4921022222222,121.226896388889|15.4921022222222,121.226896388889|15.4884966666667,121.244419444444|15.4884966666667,121.244419444444|15.4845963888889,121.261875|15.4845963888889,121.261875|15.4804030555556,121.279258055556|15.4804030555556,121.279258055556|15.4759166666667,121.296561944444|15.4759166666667,121.296561944444|15.4711402777778,121.313783055556|15.4711402777778,121.313783055556|15.4660741666667,121.330916388889|15.4660741666667,121.330916388889|15.4607194444444,121.347954722222|15.4607194444444,121.347954722222|15.4550775,121.364894444444|15.4550775,121.364894444444|15.4491530555556,121.38173|15.4491530555556,121.38173|15.4429447222222,121.398456944444|15.4429447222222,121.398456944444|15.4364555555556,121.415069166667|15.4364555555556,121.415069166667|15.4296872222222,121.431562222222|15.4296872222222,121.431562222222|15.4226422222222,121.447931111111|15.4226422222222,121.447931111111|15.4153222222222,121.464170277778|15.4153222222222,121.464170277778|15.4077286111111,121.480275833333|15.4077286111111,121.480275833333|15.3998658333333,121.496242777778|15.3998658333333,121.496242777778|15.3917361111111,121.512065277778|15.3917361111111,121.512065277778|15.38334,121.527739444444|15.38334,121.527739444444|15.37468,121.54326|15.37468,121.54326|15.3657608333333,121.558623055556|15.3657608333333,121.558623055556|15.356585,121.573822777778|15.356585,121.573822777778|15.3471525,121.588856111111|15.3471525,121.588856111111|15.3374691666667,121.603716666667|15.3374691666667,121.603716666667|15.3275375,121.618401666667|15.3275375,121.618401666667|15.3173580555556,121.632906111111|15.3173580555556,121.632906111111|15.3069375,121.647225833333|15.3069375,121.647225833333|15.2962766666667,121.661355555556|15.2962766666667,121.661355555556|15.2853788888889,121.675292222222|15.2853788888889,121.675292222222|15.2742469444444,121.689030833333|15.2742469444444,121.689030833333|15.2628866666667,121.702568055556|15.2628866666667,121.702568055556|15.2513002777778,121.715898611111|15.2513002777778,121.715898611111|15.2394897222222,121.72902|15.2394897222222,121.72902|15.2274611111111,121.741926666667|15.2274611111111,121.741926666667|15.2152158333333,121.754616388889|15.2152158333333,121.754616388889|15.2027588888889,121.767084444444|15.2027588888889,121.767084444444|15.1900936111111,121.779326944444|15.1900936111111,121.779326944444|15.1772238888889,121.791341388889|15.1772238888889,121.791341388889|15.1641527777778,121.8031225|15.1641527777778,121.8031225|15.1508863888889,121.814668055556|15.1508863888889,121.814668055556|15.1374263888889,121.825974166667|15.1374263888889,121.825974166667|15.1237794444444,121.837036944444|15.1237794444444,121.837036944444|15.1099472222222,121.847854444444|15.1099472222222,121.847854444444|15.0959347222222,121.858421666667|15.0959347222222,121.858421666667|15.081745,121.868737222222|15.081745,121.868737222222|15.0673847222222,121.8787975|15.0673847222222,121.8787975|15.0528575,121.888598333333|15.0528575,121.888598333333|15.0381677777778,121.898138333333|15.0381677777778,121.898138333333|15.0233186111111,121.907414166667|15.0233186111111,121.907414166667|15.0083888888889,121.916555555556|14.7651488888889,122.501425555556|14.6651552777778,122.501425277778|14.4968911111111,122.052516388889|14.46209,122.051198055556|14.46209,122.051198055556|14.4273452777778,122.0488675|14.4273452777778,122.0488675|14.3926988888889,122.0453025|14.3926988888889,122.0453025|14.3581938888889,122.040508888889|14.3581938888889,122.040508888889|14.3238713888889,122.034492222222|14.3238713888889,122.034492222222|14.2897716666667,122.027261111111|14.2897716666667,122.027261111111|14.2559372222222,122.018824444444|14.2559372222222,122.018824444444|14.2224088888889,122.009193055556|14.2224088888889,122.009193055556|14.189225,121.998378333333|14.189225,121.998378333333|14.1564261111111,121.986394722222|14.1564261111111,121.986394722222|14.1240511111111,121.973256111111|14.1240511111111,121.973256111111|14.09214,121.958978888889|14.09214,121.958978888889|14.0607288888889,121.943581111111|14.0607288888889,121.943581111111|14.0298580555556,121.927082222222|14.0298580555556,121.927082222222|13.9995616666667,121.909500277778|13.9995616666667,121.909500277778|13.9698788888889,121.890858611111|13.9698788888889,121.890858611111|13.9408425,121.871178888889|13.9408425,121.871178888889|13.9124880555556,121.850485277778|13.9124880555556,121.850485277778|13.8848494444444,121.828802777778|13.8848494444444,121.828802777778|13.8579597222222,121.806157777778|13.8579597222222,121.806157777778|13.8318508333333,121.782576666667|13.8318508333333,121.782576666667|13.8065536111111,121.758089722222|13.8065536111111,121.758089722222|13.7820994444444,121.732725|13.7820994444444,121.732725|13.7585163888889,121.706513333333|13.7585163888889,121.706513333333|13.7358327777778,121.679486111111|13.7358327777778,121.679486111111|13.7140744444444,121.651675555556|13.7140744444444,121.651675555556|13.69327,121.623115555556|13.69327,121.623115555556|13.6734427777778,121.593839722222|13.6734427777778,121.593839722222|13.654615,121.5638825|13.654615,121.5638825|13.6368111111111,121.533281666667|13.6368111111111,121.533281666667|13.6200522222222,121.502072222222|13.6200522222222,121.502072222222|13.6043575,121.470291388889|13.6043575,121.470291388889|13.5897452777778,121.4379775|13.5897452777778,121.4379775|13.5762322222222,121.405168888889|13.5762322222222,121.405168888889|13.5638372222222,121.371904722222|13.5638372222222,121.371904722222|13.5525727777778,121.338224444444|13.5525727777778,121.338224444444|13.5424525,121.304167777778|13.5424525,121.304167777778|13.5334902777778,121.269776111111|13.5334902777778,121.269776111111|13.5256930555556,121.235089722222|13.5256930555556,121.235089722222|13.5190733333333,121.200150277778|13.5190733333333,121.200150277778|13.5136391666667,121.164998611111|13.5136391666667,121.164998611111|13.5093938888889,121.129676666667|13.5093938888889,121.129676666667|13.5063447222222,121.094226666667|13.5063447222222,121.094226666667|13.5044958333333,121.058691111111|13.5044958333333,121.058691111111|13.5038488888889,121.023110833333|13.5038488888889,121.023110833333|13.5044036111111,120.987529444444|13.5044036111111,120.987529444444|13.5061588888889,120.951988888889|13.5061588888889,120.951988888889|13.5091161111111,120.916530833333|13.5091161111111,120.916530833333|13.5132686111111,120.881197222222|13.5132686111111,120.881197222222|13.5186116666667,120.846031388889|13.5186116666667,120.846031388889|13.5251405555556,120.811073611111|13.5251405555556,120.811073611111|13.532845,120.776366111111|13.532845,120.776366111111|13.5417191666667,120.741950555556|13.5417191666667,120.741950555556|13.5517502777778,120.707866944444|13.5517502777778,120.707866944444|13.5629258333333,120.674156111111|13.5629258333333,120.674156111111|13.5752355555556,120.640857777778|13.5752355555556,120.640857777778|13.5886616666667,120.608013055556|13.5886616666667,120.608013055556|13.6031888888889,120.575659166667|13.6031888888889,120.575659166667|13.6188005555556,120.543835555556|13.6188005555556,120.543835555556|13.6354783333333,120.512581111111|13.6354783333333,120.512581111111|13.6532033333333,120.481931388889|13.6532033333333,120.481931388889|13.6719516666667,120.451923611111|13.6719516666667,120.451923611111|13.6917019444444,120.422594166667|13.6917019444444,120.422594166667|13.7124330555556,120.3939775|13.7124330555556,120.3939775|13.7341172222222,120.366107777778|13.7341172222222,120.366107777778|13.7568944444444,120.339166666667|13.756895,120.051420833333|13.8435555555556,119.998088055556|14.0381586111111,120.103785555556|14.0596933333333,119.882434166667|14.6186152777778,119.734521388889|15.3083969444444,120.398003888889|15.3920833333333,120.3980025|15.4459083333333,120.483144444444|15.6842861111111,120.452316111111;Manila Approach
13||13000||0|10.2686658333333,123.144166388889|10.2977063888889,123.143055|10.3267677777778,123.14297|10.3558141666667,123.143903611111|10.38481,123.145854722222|10.4137227777778,123.148821388889|10.4425152777778,123.152800555556|10.4711536111111,123.157788055556|10.4996027777778,123.163777222222|10.5278297222222,123.170762222222|10.5557991666667,123.178733611111|10.5834786111111,123.187683333333|10.6108330555556,123.197599444444|10.6378291666667,123.208472222222|10.6644369444444,123.220286388889|10.6906216666667,123.233029722222|10.7163516666667,123.246686944444|10.7415986111111,123.261240555556|10.7663291666667,123.276673888889|10.7905133333333,123.292968888889|10.8141247222222,123.310105277778|10.8371311111111,123.3280625|10.8595072222222,123.346820277778|10.8812258333333,123.366354722222|10.9022591666667,123.386641944444|10.9225822222222,123.407659444444|10.9421708333333,123.429380833333|10.9610005555556,123.451779722222|10.97905,123.474828888889|10.996295,123.498500833333|11.0127177777778,123.5227675|11.0282947222222,123.547599166667|11.0430102777778,123.572965277778|11.0568438888889,123.598835277778|11.0697805555556,123.625178333333|11.0818038888889,123.651962222222|11.0929002777778,123.679154444444|11.1030536111111,123.706722222222|11.1122544444444,123.734631944444|11.1204902777778,123.76285|11.1277516666667,123.791341666667|11.1340286111111,123.820072222222|11.1393147222222,123.849008055556|11.1436030555556,123.8781125|11.1468886111111,123.907351111111|11.1491680555556,123.9366875|11.1504361111111,123.9660875|11.1506936111111,123.995513888889|11.1499408333333,124.024931944444|11.1481755555556,124.054304722222|11.1454036111111,124.083597777778|11.1416247222222,124.112775555556|11.1368472222222,124.141801388889|11.1310730555556,124.170640833333|11.1243130555556,124.199258888889|11.1165727777778,124.227620555556|11.1078616666667,124.255691388889|11.0981919444444,124.2834375|11.0875741666667,124.310825277778|11.0760227777778,124.337821666667|11.0635486111111,124.364393333333|11.0501697222222,124.390508055556|11.0359022222222,124.416135277778|11.0207619444444,124.441243055556|11.0047669444444,124.465800555556|10.9879391666667,124.489779444444|10.9702958333333,124.513149722222|10.9518611111111,124.535883611111|10.9326561111111,124.557953055556|10.9127047222222,124.579331944444|10.89203,124.599995|10.8706575,124.619915833333|10.8486130555556,124.639072222222|10.8259244444444,124.657440277778|10.8026177777778,124.674998055556|10.7787225,124.691723611111|10.7542652777778,124.707598333333|10.7292780555556,124.722602777778|10.7037902777778,124.736718611111|10.6778338888889,124.749929444444|10.6514377777778,124.762219166667|10.6246347222222,124.773573055556|10.5974594444444,124.783978333333|10.5699416666667,124.793421944444|10.5421161111111,124.801892777778|10.5140163888889,124.809381666667|10.4856758333333,124.815879444444|10.4571286111111,124.821378055556|10.42841,124.825871666667|10.3995544444444,124.829354444444|10.3705975,124.831823888889|10.3415719444444,124.833275555556|10.3125133333333,124.833709722222|10.2834588888889,124.833124722222|10.2544411111111,124.831521944444|10.2254958333333,124.828903611111|10.1966577777778,124.825274166667|10.1679619444444,124.820636944444|10.1394419444444,124.8149975|10.1111336111111,124.808364444444|10.0830708333333,124.800745|10.0552852777778,124.792148611111|10.0278127777778,124.782585555556|10.0006861111111,124.772068333333|9.97393611111111,124.760609722222|9.94759527777778,124.748223055556|9.92169777777778,124.734924166667|9.89627194444444,124.720728611111|9.87134888888889,124.705653888889|9.84695833333333,124.689718611111|9.82313166666667,124.672941666667|9.79989444444444,124.655343333333|9.77727722222222,124.636944722222|9.75530472222222,124.617768888889|9.73400472222222,124.597838055556|9.71340361111111,124.577176666667|9.69352333333333,124.555809444444|9.67439083333333,124.533762222222|9.65602694444445,124.511061388889|9.63845416666667,124.487735|9.62169277777778,124.463809722222|9.60576444444444,124.439315277778|9.59068777777778,124.414280833333|9.57648055555556,124.388736666667|9.56315972222222,124.362713055556|9.55074222222222,124.336240833333|9.53924138888889,124.3093525|9.52867055555556,124.282080277778|9.51904527777778,124.254455833333|9.51037416666667,124.226513611111|9.50266888888889,124.198286111111|9.49593777777778,124.169806944444|9.49019027777778,124.141111111111|9.4854325,124.1122325|9.48167111111111,124.083205833333|9.47890805555556,124.054065277778|9.47714972222222,124.024846111111|9.47638888888889,123.995583055556|9.11699722222222,123.3010775|9.46360277777778,122.884007777778|10.2686661111111,123.144166388889;Mactan Approach
14||13000||0|7.96856027777778,125.6983275|7.96856027777778,124.819258333333|7.96856027777778,124.819258333333|7.26198305555556,124.847541666667|7.26198305555556,124.847541666667|6.90475472222222,124.921244166667|6.90475472222222,124.921244166667|6.71540555555556,125.432310555556|6.71540555555556,125.432310555556|6.71540555555556,126.153722222222|6.71540555555556,126.153722222222|7.27765,126.153722222222|7.27765,126.153722222222|7.96856027777778,125.6983275;Davao Approach
15||13000||0|18.63775,120.742061111111|18.6319175,120.749393888889|18.6282077777778,120.757696111111|18.6243613888889,120.765929722222|18.6203777777778,120.774091388889|18.6162583333333,120.782178055556|18.6120052777778,120.790188055556|18.6076188888889,120.798118333333|18.6031011111111,120.805966944444|18.5984536111111,120.813730833333|18.5936766666667,120.821409166667|18.5887730555556,120.828997222222|18.5837433333333,120.836494722222|18.5785897222222,120.843898611111|18.5733127777778,120.851206666667|18.5679152777778,120.858416666667|18.5623983333333,120.865526666667|18.5567641666667,120.872533888889|18.5510133333333,120.879436388889|18.5451488888889,120.8862325|18.5391716666667,120.89292|18.5330838888889,120.899496388889|18.5268875,120.905959444444|18.5205838888889,120.912308611111|18.5141755555556,120.918540833333|18.5076647222222,120.924655|18.5010527777778,120.930648333333|18.4943416666667,120.936519166667|18.4875338888889,120.942265833333|18.4806311111111,120.947886944444|18.4736361111111,120.953381111111|18.4665505555556,120.958745833333|18.4593761111111,120.963979444444|18.4521158333333,120.969081388889|18.4447716666667,120.974048611111|18.4373461111111,120.978880833333|18.4298402777778,120.983576388889|18.4222580555556,120.988133333333|18.4146008333333,120.992551111111|18.4068711111111,120.996827222222|18.3990711111111,121.000961666667|18.3912033333333,121.0049525|18.3832702777778,121.008798611111|18.3752741666667,121.012498611111|18.3672177777778,121.016051666667|18.3591033333333,121.019457222222|18.3509333333333,121.022713055556|18.3427108333333,121.025819444444|18.3344369444444,121.028774444444|18.3261155555556,121.031577777778|18.3177483333333,121.034228611111|18.3093386111111,121.036725833333|18.3008880555556,121.039068888889|18.2924,121.041256666667|18.2838772222222,121.043289722222|18.2753211111111,121.045166111111|18.266735,121.046885833333|18.2581222222222,121.048448611111|18.2494838888889,121.049853888889|18.2408238888889,121.051100833333|18.2321441666667,121.052189444444|18.2234477777778,121.053119444444|18.2147372222222,121.053890277778|18.206015,121.054502222222|18.1972844444444,121.054955|18.1885472222222,121.055247777778|18.1798061111111,121.055381944444|18.1710641666667,121.055355833333|18.1623247222222,121.05517|18.1535888888889,121.054825833333|18.1448605555556,121.054321388889|18.1361416666667,121.053658611111|18.1274355555556,121.052836388889|18.1187438888889,121.051855833333|18.11007,121.050716944444|18.1014169444444,121.049420277778|18.0927863888889,121.047965833333|18.0841813888889,121.046354444444|18.0756047222222,121.044586111111|18.0670586111111,121.042662777778|18.0585458333333,121.040583611111|18.0500691666667,121.038349444444|18.0416311111111,121.035961388889|18.0332338888889,121.033420833333|18.0248808333333,121.030727222222|18.0165733333333,121.027881944444|18.0083147222222,121.024886111111|18.0001072222222,121.021740277778|17.9919538888889,121.018445555556|17.9838561111111,121.015003611111|17.9758169444444,121.011414166667|17.9678391666667,121.007679444444|17.9599247222222,121.003800555556|17.9520761111111,120.999777777778|17.9442958333333,120.995613333333|17.9365861111111,120.9913075|17.9289494444444,120.986863055556|17.9213880555556,120.982280555556|17.9139038888889,120.977560555556|17.9065,120.972705833333|17.8991780555556,120.967717777778|17.8919397222222,120.962596666667|17.8847886111111,120.957345555556|17.8777261111111,120.951965|17.8707541666667,120.946456944444|17.863875,120.940823611111|17.8570908333333,120.935066111111|17.8504041666667,120.929186388889|17.8438158333333,120.923185833333|17.8373291666667,120.917066666667|17.8309447222222,120.910831388889|17.8246658333333,120.904480833333|17.8184936111111,120.898017222222|17.8124297222222,120.891442777778|17.8064763888889,120.884759722222|17.8006363888889,120.877969444444|17.7949091666667,120.871074166667|17.7892988888889,120.864076111111|17.7838055555556,120.856977222222|17.7784313888889,120.849780277778|17.7731783333333,120.842486944444|17.7680475,120.835098888889|17.76304,120.827620277778|17.7581588888889,120.820051111111|17.7534044444444,120.812394722222|17.7487783333333,120.804653333333|17.7442819444444,120.796829722222|17.7420663888889,120.787658333333|17.3088122222222,120.868635555556|17.2647880555556,120.699670555556|17.2507775,120.531111111111|17.2647880555556,120.362551388889|17.3064002777778,120.199036666667|17.3743680555556,120.0454675|17.4666541666667,119.906459722222|17.5804888888889,119.786206666667|17.7124511111111,119.688361388889|17.8585666666667,119.615919166667|18.0144269444444,119.571131944444|18.1753155555556,119.555426388889|18.3363525,119.569359166667|18.49264,119.612588333333|18.6394105555556,119.683872777778|18.7721766666667,119.7811025|18.8868663888889,119.901354722222|18.9799558333333,120.040978055556|19.0485788888889,120.195704444444|19.0906186111111,120.360778055556|19.1047775,120.531111111111|19.0906186111111,120.701443888889|19.0719991666667,120.774553611111|18.63775,120.742061111111;Laoag Approach
16||13000||0|10.2686658333333,123.144166388889|10.2977063888889,123.143055|10.3267677777778,123.14297|10.3558141666667,123.143903611111|10.3848094444444,123.145854722222|10.4137227777778,123.148821388889|10.4425152777778,123.152800555556|10.4711536111111,123.157788055556|10.4996022222222,123.163777222222|10.5278294444444,123.170762222222|10.5557988888889,123.178733611111|10.5834786111111,123.187683333333|10.6108330555556,123.197599444444|10.6378286111111,123.208472222222|10.6644369444444,123.220286388889|10.6906216666667,123.233029722222|10.7163511111111,123.246686944444|10.7415986111111,123.261240555556|10.7663291666667,123.276673888889|10.7905127777778,123.292968888889|10.8141247222222,123.310105277778|10.8371305555556,123.3280625|10.8595066666667,123.346820277778|10.8812258333333,123.366354722222|10.9022591666667,123.386641944444|10.9225822222222,123.407659444444|10.9421708333333,123.429380833333|10.9610005555556,123.451779722222|10.97905,123.474828888889|10.9812886111111,123.4778175|11.4174194444444,123.144310833333|11.1620877777778,122.350941666667|10.7654166666667,122.068072222222|9.9988025,122.384733055556|9.78904555555556,122.989176111111|10.2686658333333,123.144166388889;Bacolod Approach
17||13000||0|9.7442575,118.589713333333|9.74632972222222,118.420799722222|9.79966527777778,118.425480833333|9.85580361111111,118.440687777778|9.90848555555556,118.465565277778|9.95610722222222,118.499359444444|9.99722166666667,118.541045555556|10.0305766666667,118.589357777778|10.0551555555556,118.642826388889|10.0702083333333,118.699822777778|10.0752777777778,118.758610833333|10.0702083333333,118.817398611111|10.0551555555556,118.874395833333|10.0305766666667,118.927863888889|9.99722166666667,118.976176111111|9.95610722222222,119.017862777778|9.90848555555556,119.051656944444|9.85580361111111,119.076533888889|9.79966527777778,119.091740555556|9.74177666666667,119.096821111111|9.68389916666667,119.091625277778|9.62779138888889,119.076316666667|9.57515222222222,119.051364444444|9.527585,119.017530277778|9.48652805555555,118.975843611111|9.45322805555555,118.927571388889|9.42869333333333,118.874178055556|9.41366916666667,118.817283333333|9.5774975,118.784366666667|9.57527777777778,118.758610833333|9.57780861111111,118.729260277778|9.58532277777778,118.700800555556|9.597595,118.674094444444|9.61425333333333,118.649953611111|9.6347875,118.629110555556|9.65858,118.612197777778|9.68490444444445,118.599731111111|9.71296166666667,118.592089166667|9.7442575,118.589713333333;Puerto Princesa Approach
